title.x,paper_id,title.y,id2,exact_match
pacific northwest regional assessment: the impacts of climate variability and climate change on the water resources of the columbia river basin1,796,pacific northwest regional assessment: the impacts of climate variability and climate change on the water resources of the columbia river basin.,569,no
projected major fire and vegetation changes in the pacific northwest of the conterminous united states under selected cmip5 climate futures,408,projected major fire and vegetation changes in the pacific northwest of the conterminous united states under selected cmip5 climate futures.,691,no
projected major fire and vegetation changes in the pacific northwest of the conterminous united states under selected cmip5 climate futures.,691,projected major fire and vegetation changes in the pacific northwest of the conterminous united states under selected cmip5 climate futures,408,no
"quantifying the contribution of glacier runoff to streamflow in the upper columbia river basin, canada",757,"quantifying the contribution of glacier runoff to streamflow in the upper columbia river basin, canada.",664,no
"quantifying the contribution of glacier runoff to streamflow in the upper columbia river basin, canada.",664,"quantifying the contribution of glacier runoff to streamflow in the upper columbia river basin, canada",757,no
small soil storage capacity limits benefit of winter snowpack to upland vegetation,291,small soil storage capacity limits benefit of winter snowpack to upland vegetation.,661,no
small soil storage capacity limits benefit of winter snowpack to upland vegetation.,661,small soil storage capacity limits benefit of winter snowpack to upland vegetation,291,no
snow cover variability in a forest ecotone of the oregon cascades via modis terra products,314,snow cover variability in a forest ecotone of the oregon cascades via modis terra products.,694,no
snow cover variability in a forest ecotone of the oregon cascades via modis terra products.,694,snow cover variability in a forest ecotone of the oregon cascades via modis terra products,314,no
transferring soils from high- to low-elevation forests increases nitrogen cycling rates: climate change implications,451,transferring soils from high- to low-elevation forests increases nitrogen cycling rates: climate change implications.,566,no
transferring soils from high- to low-elevation forests increases nitrogen cycling rates: climate change implications.,566,transferring soils from high- to low-elevation forests increases nitrogen cycling rates: climate change implications,451,no
trends in temperature and precipitation in the pacific northwest during the twentieth century,448,trends in temperature and precipitation in the pacific northwest during the twentieth century.,574,no
trends in temperature and precipitation in the pacific northwest during the twentieth century,448,trends in temperature and precipitation in the pacific northwest during the twentieth century,637,no
trends in temperature and precipitation in the pacific northwest during the twentieth century,637,trends in temperature and precipitation in the pacific northwest during the twentieth century.,574,no
trends in temperature and precipitation in the pacific northwest during the twentieth century,637,trends in temperature and precipitation in the pacific northwest during the twentieth century,448,no
trends in temperature and precipitation in the pacific northwest during the twentieth century.,574,trends in temperature and precipitation in the pacific northwest during the twentieth century,448,no
trends in temperature and precipitation in the pacific northwest during the twentieth century.,574,trends in temperature and precipitation in the pacific northwest during the twentieth century,637,no
validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed,371,validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed.,522,no
validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed.,522,validation and sensitivity test of the distributed hydrology soil-vegetation model (dhsvm) in a forested mountain watershed,371,no
